Date,Point
2024-02-20,80.5045
2024-02-21,78.4572
2024-02-22,80.2723
2024-02-23,80.8918
2024-02-26,81.5704
2024-02-27,81.6176
2024-02-28,81.2129
2024-02-29,81.8605
2024-03-01,81.8422
2024-03-04,81.3494
2024-03-05,77.7588
2024-03-06,78.7513
2024-03-07,79.6845
2024-03-08,78.9413
2024-03-11,79.0087
2024-03-12,80.1006
2024-03-13,79.8301
2024-03-14,79.1075
2024-03-15,76.4986
2024-03-18,77.4767
2024-03-19,77.7807
2024-03-20,78.8326
2024-03-21,78.9821
2024-03-22,78.5119
2024-03-25,78.2895
2024-03-26,78.6766
2024-03-27,78.552
2024-03-28,78.5951
2024-04-01,78.1448
2024-04-02,76.9081
2024-04-03,76.8271
2024-04-04,76.4114
2024-04-05,77.5554
2024-04-08,77.9559
2024-04-09,78.3409
2024-04-10,76.8108
2024-04-11,77.4978
2024-04-12,75.9921
2024-04-15,73.6589
2024-04-16,73.7421
2024-04-17,73.2858
2024-04-18,73.1054
2024-04-19,72.0062
2024-04-22,72.9587
2024-04-23,74.8592
2024-04-24,75.0023
2024-04-25,74.0415
2024-04-26,74.9209
2024-04-29,74.8023
2024-04-30,72.7626
2024-05-01,72.9029
2024-05-02,73.1298
2024-05-03,73.8661
2024-05-06,74.9156
2024-05-07,74.5812
2024-05-08,73.3637
2024-05-09,73.2546
2024-05-10,73.4381
2024-05-13,73.8429
2024-05-14,74.0321
2024-05-15,76.3269
2024-05-16,76.1331
2024-05-17,76.4133
2024-05-20,77.1859
2024-05-21,76.6968
2024-05-22,76.358
2024-05-23,75.1846
2024-05-24,73.6211
2024-05-28,73.219
2024-05-29,73.1087
2024-05-30,68.7693
2024-05-31,68.3549
2024-06-03,67.7423
2024-06-04,67.9503
2024-06-05,69.1555
2024-06-06,69.5688
2024-06-07,69.4157
2024-06-10,69.6936
2024-06-11,69.9497
2024-06-12,70.6393
2024-06-13,69.169
2024-06-14,70.3921
2024-06-17,70.0264
2024-06-18,69.5548
2024-06-20,69.7999
2024-06-21,71.0275
2024-06-24,70.6125
2024-06-25,71.0684
2024-06-26,71.3254
2024-06-27,73.1643
2024-06-28,73.7867
2024-07-01,74.188
2024-07-02,74.2689
2024-07-03,74.5357
2024-07-05,75.2879
2024-07-08,74.3835
2024-07-09,72.7605
2024-07-10,71.594
2024-07-11,72.0741
2024-07-12,72.8637
2024-07-15,73.5222
2024-07-16,74.3599
2024-07-17,73.1792
2024-07-18,71.8285
2024-07-19,71.5891
2024-07-22,71.8609
2024-07-23,72.3142
2024-07-24,69.7556
2024-07-25,71.9516
2024-07-26,72.2068
2024-07-29,71.717
2024-07-30,71.0015
2024-07-31,71.7622
2024-08-01,70.0027
2024-08-02,67.9771
2024-08-05,66.2864
2024-08-06,66.933
2024-08-07,66.8695
2024-08-08,68.7438
2024-08-09,69.1211
2024-08-12,68.8417
2024-08-13,70.4327
2024-08-14,70.5735
2024-08-15,72.0417
2024-08-16,72.2766
2024-08-19,73.2611
2024-08-20,72.9241
2024-08-21,73.597
2024-08-22,72.3424
2024-08-23,73.0178
2024-08-26,73.0862
2024-08-27,73.2098
2024-08-28,72.0478
2024-08-29,73.1567
2024-08-30,73.738
2024-09-03,72.1339
2024-09-04,71.7117
2024-09-05,71.5698
2024-09-06,70.3521
2024-09-09,71.2352
2024-09-10,71.2807
2024-09-11,72.2612
2024-09-12,72.5587
2024-09-13,72.4101
2024-09-16,72.6014
2024-09-17,72.3325
2024-09-18,72.2051
2024-09-19,74.1806
2024-09-20,74.3611
2024-09-23,74.271
2024-09-24,74.3106
2024-09-25,73.5497
2024-09-26,73.7297
2024-09-27,73.6015
2024-09-30,73.748
2024-10-01,72.0837
2024-10-02,72.3964
2024-10-03,72.4213
2024-10-04,74.0451
2024-10-07,72.6502
2024-10-08,73.4978
2024-10-09,74.807
2024-10-10,76.0162
2024-10-11,76.2568
