Date,STH SaaS Index,S&P 500,Nasdaq NDXT
7/18/2022 16:00:00,-49.69%,-16.92%,-30.42%
7/19/2022 16:00:00,-50.14%,-15.00%,-31.14%
7/20/2022 16:00:00,-47.73%,-15.84%,-27.37%
7/21/2022 16:00:00,-42.00%,-13.07%,-24.23%
7/22/2022 16:00:00,-40.10%,-12.48%,-22.61%
7/25/2022 16:00:00,-43.63%,-11.50%,-25.05%
7/26/2022 16:00:00,-45.69%,-12.43%,-26.11%
7/27/2022 16:00:00,-50.41%,-12.30%,-29.02%
7/28/2022 16:00:00,-45.29%,-13.45%,-24.32%
7/29/2022 16:00:00,-43.49%,-10.84%,-22.92%
8/1/2022 16:00:00,-42.11%,-9.62%,-21.78%
8/2/2022 16:00:00,-41.48%,-8.20%,-21.37%
8/3/2022 16:00:00,-39.92%,-8.49%,-21.24%
8/4/2022 16:00:00,-35.04%,-9.15%,-18.50%
8/5/2022 16:00:00,-34.33%,-7.59%,-18.32%
8/8/2022 16:00:00,-32.15%,-7.67%,-18.20%
8/9/2022 16:00:00,-30.60%,-7.83%,-18.54%
8/10/2022 16:00:00,-32.78%,-7.95%,-21.46%
8/11/2022 16:00:00,-27.40%,-8.38%,-17.51%
8/12/2022 16:00:00,-29.79%,-6.25%,-18.45%
8/15/2022 16:00:00,-27.85%,-6.32%,-15.93%
8/16/2022 16:00:00,-27.16%,-4.59%,-15.29%
8/17/2022 16:00:00,-28.26%,-4.19%,-16.31%
8/18/2022 16:00:00,-30.69%,-4.00%,-18.61%
8/19/2022 16:00:00,-30.85%,-4.73%,-17.96%
8/22/2022 16:00:00,-34.02%,-4.50%,-20.84%
8/23/2022 16:00:00,-36.89%,-5.79%,-23.97%
8/24/2022 16:00:00,-37.27%,-7.93%,-23.87%
8/25/2022 16:00:00,-35.84%,-8.15%,-23.41%
8/26/2022 16:00:00,-33.68%,-7.86%,-21.03%
8/29/2022 16:00:00,-37.63%,-6.45%,-25.59%
8/30/2022 16:00:00,-39.79%,-9.82%,-27.18%
8/31/2022 16:00:00,-39.50%,-10.49%,-27.97%
9/1/2022 16:00:00,-40.57%,-11.59%,-28.66%
9/2/2022 16:00:00,-46.00%,-12.37%,-31.22%
9/6/2022 16:00:00,-46.23%,-12.07%,-32.21%
9/7/2022 16:00:00,-46.88%,-13.15%,-33.24%
9/8/2022 16:00:00,-44.19%,-13.56%,-31.16%
9/9/2022 16:00:00,-42.02%,-11.72%,-29.68%
9/12/2022 16:00:00,-37.32%,-11.06%,-26.23%
9/13/2022 16:00:00,-35.49%,-9.53%,-25.14%
9/14/2022 16:00:00,-41.11%,-8.48%,-31.01%
9/15/2022 16:00:00,-40.03%,-12.80%,-30.48%
9/16/2022 16:00:00,-42.59%,-12.46%,-32.66%
9/19/2022 16:00:00,-45.72%,-13.59%,-33.86%
9/20/2022 16:00:00,-45.02%,-14.31%,-33.17%
9/21/2022 16:00:00,-47.01%,-13.62%,-34.48%
9/22/2022 16:00:00,-48.39%,-14.75%,-35.95%
9/23/2022 16:00:00,-51.94%,-16.46%,-38.17%
9/26/2022 16:00:00,-53.47%,-17.31%,-39.51%
9/27/2022 16:00:00,-54.60%,-19.03%,-40.57%
9/28/2022 16:00:00,-52.72%,-20.06%,-39.73%
9/29/2022 16:00:00,-49.47%,-20.28%,-37.64%
9/30/2022 16:00:00,-51.20%,-18.31%,-39.89%
10/3/2022 16:00:00,-52.51%,-20.42%,-41.42%
10/4/2022 16:00:00,-50.06%,-21.93%,-38.17%
10/5/2022 16:00:00,-45.18%,-19.34%,-34.44%
10/6/2022 16:00:00,-44.65%,-16.28%,-33.91%
10/7/2022 16:00:00,-44.58%,-16.48%,-34.60%
10/10/2022 16:00:00,-49.58%,-17.51%,-39.65%
10/11/2022 16:00:00,-54.25%,-20.31%,-42.66%
10/12/2022 16:00:00,-56.44%,-21.06%,-45.35%
10/13/2022 16:00:00,-56.88%,-21.71%,-45.87%
10/14/2022 16:00:00,-56.75%,-22.04%,-44.00%
10/17/2022 16:00:00,-60.76%,-19.44%,-47.73%
10/18/2022 16:00:00,-55.43%,-21.81%,-44.09%
10/19/2022 16:00:00,-52.97%,-19.16%,-42.93%
10/20/2022 16:00:00,-55.70%,-18.02%,-43.62%
10/21/2022 16:00:00,-54.84%,-18.68%,-43.13%
10/24/2022 16:00:00,-53.65%,-19.48%,-40.71%
10/25/2022 16:00:00,-53.71%,-17.11%,-40.21%
10/26/2022 16:00:00,-48.74%,-15.92%,-37.40%
10/27/2022 16:00:00,-51.12%,-14.29%,-39.32%
10/28/2022 16:00:00,-49.27%,-15.03%,-40.63%
10/31/2022 16:00:00,-48.07%,-15.64%,-37.68%
11/1/2022 16:00:00,-48.29%,-13.18%,-39.08%
11/2/2022 16:00:00,-50.46%,-13.92%,-39.51%
11/3/2022 16:00:00,-57.39%,-14.33%,-43.78%
11/4/2022 16:00:00,-58.61%,-16.83%,-46.59%
11/7/2022 16:00:00,-64.73%,-17.89%,-45.99%
11/8/2022 16:00:00,-64.78%,-16.53%,-43.97%
11/9/2022 16:00:00,-62.77%,-15.57%,-42.26%
11/10/2022 16:00:00,-65.76%,-15.01%,-45.08%
11/11/2022 16:00:00,-53.70%,-17.08%,-34.58%
11/14/2022 16:00:00,-49.74%,-11.54%,-30.99%
11/15/2022 16:00:00,-51.91%,-10.62%,-32.54%
11/16/2022 16:00:00,-47.94%,-11.51%,-29.64%
11/17/2022 16:00:00,-51.63%,-10.64%,-33.15%
11/18/2022 16:00:00,-55.35%,-11.46%,-33.84%
11/21/2022 16:00:00,-56.38%,-11.77%,-34.16%
11/22/2022 16:00:00,-58.51%,-11.30%,-35.72%
11/23/2022 16:00:00,-57.05%,-11.69%,-33.91%
11/25/2022 13:05:00,-54.39%,-10.33%,-32.63%
11/28/2022 16:00:00,-54.84%,-9.77%,-33.57%
11/29/2022 16:00:00,-56.23%,-11.31%,-35.44%
11/30/2022 16:00:00,-57.46%,-11.47%,-36.08%
12/1/2022 16:00:00,-52.12%,-8.37%,-30.83%
12/2/2022 16:00:00,-49.72%,-8.46%,-29.63%
12/5/2022 16:00:00,-51.32%,-8.58%,-31.11%
12/6/2022 16:00:00,-56.42%,-10.37%,-33.35%
12/7/2022 16:00:00,-58.32%,-11.81%,-35.48%
12/8/2022 16:00:00,-57.85%,-12.00%,-35.85%
12/9/2022 16:00:00,-54.13%,-11.24%,-33.47%
12/12/2022 16:00:00,-54.63%,-11.98%,-33.91%
12/13/2022 16:00:00,-51.34%,-10.55%,-31.72%
12/14/2022 16:00:00,-49.08%,-9.82%,-29.78%
12/15/2022 16:00:00,-48.79%,-10.43%,-30.74%
12/16/2022 16:00:00,-52.86%,-12.92%,-34.63%
12/19/2022 16:00:00,-53.39%,-14.03%,-35.22%
12/20/2022 16:00:00,-56.14%,-14.93%,-36.99%
12/21/2022 16:00:00,-55.38%,-14.83%,-37.03%
12/22/2022 16:00:00,-54.24%,-13.34%,-35.55%
12/23/2022 16:00:00,-56.89%,-14.79%,-39.11%
12/27/2022 16:00:00,-57.34%,-14.20%,-39.15%
12/28/2022 16:00:00,-58.90%,-14.61%,-40.42%
12/29/2022 16:00:00,-59.44%,-15.81%,-41.83%
12/30/2022 16:00:00,-55.18%,-14.06%,-38.55%
1/3/2023 16:00:00,-55.41%,-14.32%,-38.79%
1/4/2023 16:00:00,-55.99%,-14.72%,-39.46%
1/5/2023 16:00:00,-55.38%,-13.96%,-37.93%
1/6/2023 16:00:00,-60.74%,-15.13%,-40.57%
1/9/2023 16:00:00,-60.27%,-12.84%,-37.37%
1/10/2023 16:00:00,-57.18%,-12.92%,-35.61%
1/11/2023 16:00:00,-56.66%,-12.22%,-34.95%
1/12/2023 16:00:00,-54.37%,-10.94%,-33.34%
1/13/2023 16:00:00,-53.24%,-10.60%,-32.59%
1/17/2023 16:00:00,-52.38%,-10.20%,-31.95%
1/18/2023 16:00:00,-50.86%,-10.40%,-31.53%
1/19/2023 16:00:00,-52.16%,-11.96%,-32.91%
1/20/2023 16:00:00,-53.71%,-12.72%,-34.40%
1/23/2023 16:00:00,-49.91%,-10.83%,-30.98%
1/24/2023 16:00:00,-46.97%,-9.64%,-27.55%
1/25/2023 16:00:00,-48.25%,-9.71%,-28.26%
1/26/2023 16:00:00,-48.54%,-9.73%,-28.53%
1/27/2023 16:00:00,-45.53%,-8.63%,-25.87%
1/30/2023 16:00:00,-43.94%,-8.38%,-25.79%
1/31/2023 16:00:00,-46.35%,-9.68%,-28.35%
2/1/2023 16:00:00,-44.29%,-8.21%,-26.45%
2/2/2023 16:00:00,-39.60%,-7.17%,-22.21%
2/3/2023 16:00:00,-34.96%,-5.70%,-18.66%
2/6/2023 16:00:00,-39.86%,-6.73%,-21.17%
2/7/2023 16:00:00,-41.74%,-7.35%,-22.83%
2/8/2023 16:00:00,-38.70%,-6.06%,-19.81%
2/9/2023 16:00:00,-40.26%,-7.17%,-21.54%
2/10/2023 16:00:00,-41.14%,-8.05%,-21.97%
2/13/2023 16:00:00,-43.30%,-7.83%,-23.29%
2/14/2023 16:00:00,-41.65%,-6.68%,-21.65%
2/15/2023 16:00:00,-39.71%,-6.71%,-19.81%
2/16/2023 16:00:00,-37.92%,-6.44%,-18.75%
2/17/2023 16:00:00,-41.36%,-7.81%,-21.59%
2/21/2023 16:00:00,-42.39%,-8.09%,-23.08%
2/22/2023 16:00:00,-44.97%,-10.10%,-25.89%
2/23/2023 16:00:00,-43.53%,-10.25%,-25.29%
2/24/2023 16:00:00,-42.93%,-9.72%,-23.21%
2/27/2023 16:00:00,-45.42%,-10.77%,-25.31%
2/28/2023 16:00:00,-45.27%,-10.47%,-24.66%
3/1/2023 16:00:00,-45.28%,-10.77%,-24.32%
3/2/2023 16:00:00,-46.34%,-11.24%,-24.95%
3/3/2023 16:00:00,-44.41%,-10.48%,-23.52%
3/6/2023 16:00:00,-41.76%,-8.87%,-22.17%
3/7/2023 16:00:00,-42.30%,-8.80%,-22.60%
