Date,YC Post-IPO Index,S&P 500,Nasdaq NDXT
18-Aug-2022,-69.96%,-4.73%,-17.96%
19-Aug-2022,-75.08%,-4.50%,-20.84%
22-Aug-2022,-80.71%,-5.79%,-23.97%
23-Aug-2022,-78.99%,-7.93%,-23.87%
24-Aug-2022,-77.97%,-8.15%,-23.41%
25-Aug-2022,-75.57%,-7.86%,-21.03%
26-Aug-2022,-79.66%,-6.45%,-25.59%
29-Aug-2022,-82.72%,-9.82%,-27.18%
30-Aug-2022,-86.01%,-10.49%,-27.97%
31-Aug-2022,-85.26%,-11.59%,-28.66%
1-Sep-2022,-88.34%,-12.37%,-31.22%
2-Sep-2022,-89.09%,-12.07%,-32.21%
6-Sep-2022,-89.61%,-13.15%,-33.24%
7-Sep-2022,-85.92%,-13.56%,-31.16%
8-Sep-2022,-85.58%,-11.72%,-29.68%
9-Sep-2022,-84.13%,-11.06%,-26.23%
12-Sep-2022,-82.26%,-9.53%,-25.14%
13-Sep-2022,-89.50%,-8.48%,-31.01%
14-Sep-2022,-90.12%,-12.80%,-30.48%
15-Sep-2022,-91.20%,-12.46%,-32.66%
16-Sep-2022,-92.40%,-13.59%,-33.86%
19-Sep-2022,-92.83%,-14.31%,-33.17%
20-Sep-2022,-92.03%,-13.62%,-34.48%
21-Sep-2022,-91.55%,-14.75%,-35.95%
22-Sep-2022,-95.90%,-16.46%,-38.17%
23-Sep-2022,-98.76%,-17.31%,-39.51%
26-Sep-2022,-103.02%,-19.03%,-40.57%
27-Sep-2022,-103.07%,-20.06%,-39.73%
28-Sep-2022,-95.64%,-20.28%,-37.64%
29-Sep-2022,-103.74%,-18.31%,-39.89%
30-Sep-2022,-103.34%,-20.42%,-41.42%
3-Oct-2022,-103.00%,-21.93%,-38.17%
4-Oct-2022,-95.30%,-19.34%,-34.44%
5-Oct-2022,-99.10%,-16.28%,-33.91%
6-Oct-2022,-100.98%,-16.48%,-34.60%
7-Oct-2022,-103.83%,-17.51%,-39.65%
10-Oct-2022,-107.23%,-20.31%,-42.66%
11-Oct-2022,-111.44%,-21.06%,-45.35%
12-Oct-2022,-114.58%,-21.71%,-45.87%
13-Oct-2022,-113.01%,-22.04%,-44.00%
14-Oct-2022,-117.49%,-19.44%,-47.73%
17-Oct-2022,-116.08%,-21.81%,-44.09%
18-Oct-2022,-112.28%,-19.16%,-42.93%
19-Oct-2022,-113.73%,-18.02%,-43.62%
20-Oct-2022,-115.13%,-18.68%,-43.13%
21-Oct-2022,-114.75%,-19.48%,-40.71%
24-Oct-2022,-115.28%,-17.11%,-40.21%
25-Oct-2022,-111.21%,-15.92%,-37.40%
26-Oct-2022,-109.75%,-14.29%,-39.32%
27-Oct-2022,-106.73%,-15.03%,-40.63%
28-Oct-2022,-101.68%,-15.64%,-37.68%
31-Oct-2022,-98.97%,-13.18%,-39.08%
1-Nov-2022,-97.18%,-13.92%,-39.51%
2-Nov-2022,-105.27%,-14.33%,-43.78%
3-Nov-2022,-104.92%,-16.83%,-46.59%
4-Nov-2022,-105.28%,-17.89%,-45.99%
7-Nov-2022,-103.31%,-16.53%,-43.97%
8-Nov-2022,-109.28%,-15.57%,-42.26%
9-Nov-2022,-114.23%,-15.01%,-45.08%
10-Nov-2022,-104.99%,-17.08%,-34.58%
11-Nov-2022,-99.10%,-11.54%,-30.99%
14-Nov-2022,-100.93%,-10.62%,-32.54%
15-Nov-2022,-96.87%,-11.51%,-29.64%
16-Nov-2022,-105.63%,-10.64%,-33.15%
17-Nov-2022,-109.84%,-11.46%,-33.84%
18-Nov-2022,-112.68%,-11.77%,-34.16%
21-Nov-2022,-117.21%,-11.30%,-35.72%
22-Nov-2022,-118.14%,-11.69%,-33.91%
23-Nov-2022,-114.47%,-10.33%,-32.63%
25-Nov-2022,-115.17%,-9.77%,-33.57%
28-Nov-2022,-122.96%,-11.31%,-35.44%
29-Nov-2022,-123.70%,-11.47%,-36.08%
30-Nov-2022,-120.96%,-8.37%,-30.83%
1-Dec-2022,-118.49%,-8.46%,-29.63%
2-Dec-2022,-119.74%,-8.58%,-31.11%
5-Dec-2022,-120.74%,-10.37%,-33.35%
6-Dec-2022,-124.65%,-11.81%,-35.48%
7-Dec-2022,-127.04%,-12.00%,-35.85%
8-Dec-2022,-124.39%,-11.24%,-33.47%
9-Dec-2022,-126.47%,-11.98%,-33.91%
12-Dec-2022,-128.90%,-10.55%,-31.72%
13-Dec-2022,-128.45%,-9.82%,-29.78%
14-Dec-2022,-133.17%,-10.43%,-30.74%
15-Dec-2022,-135.70%,-12.92%,-34.63%
16-Dec-2022,-138.94%,-14.03%,-35.22%
19-Dec-2022,-143.24%,-14.93%,-36.99%
20-Dec-2022,-138.61%,-14.83%,-37.03%
21-Dec-2022,-138.39%,-13.34%,-35.55%
22-Dec-2022,-141.86%,-14.79%,-39.11%
23-Dec-2022,-143.67%,-14.20%,-39.15%
27-Dec-2022,-149.19%,-14.61%,-40.42%
28-Dec-2022,-150.45%,-15.81%,-41.83%
29-Dec-2022,-140.37%,-14.06%,-38.55%
30-Dec-2022,-143.98%,-14.32%,-38.79%
3-Jan-2023,-138.15%,-14.72%,-39.46%
4-Jan-2023,-130.73%,-13.96%,-37.93%
5-Jan-2023,-135.95%,-15.13%,-40.57%
6-Jan-2023,-140.03%,-12.84%,-37.37%
9-Jan-2023,-134.08%,-12.92%,-35.61%
10-Jan-2023,-135.15%,-12.22%,-34.95%
11-Jan-2023,-131.80%,-10.94%,-33.34%
12-Jan-2023,-114.10%,-10.60%,-32.59%
13-Jan-2023,-111.18%,-10.20%,-31.95%
17-Jan-2023,-112.86%,-10.40%,-31.53%
18-Jan-2023,-127.68%,-11.96%,-32.91%
19-Jan-2023,-126.86%,-12.72%,-34.40%
20-Jan-2023,-125.77%,-10.83%,-30.98%
23-Jan-2023,-122.28%,-9.64%,-27.55%
24-Jan-2023,-124.73%,-9.71%,-28.26%
25-Jan-2023,-128.28%,-9.73%,-28.53%
26-Jan-2023,-130.62%,-8.63%,-25.87%
27-Jan-2023,-122.01%,-8.38%,-25.79%
30-Jan-2023,-127.46%,-9.68%,-28.35%
31-Jan-2023,-122.63%,-8.21%,-26.45%
1-Feb-2023,-119.82%,-7.17%,-22.21%
2-Feb-2023,-109.21%,-5.70%,-18.66%
3-Feb-2023,-108.91%,-6.73%,-21.17%
6-Feb-2023,-112.90%,-7.35%,-22.83%
7-Feb-2023,-116.55%,-6.06%,-19.81%
8-Feb-2023,-118.46%,-7.17%,-21.54%
9-Feb-2023,-119.19%,-8.05%,-21.97%
10-Feb-2023,-124.19%,-7.83%,-23.29%
13-Feb-2023,-125.45%,-6.68%,-21.65%
14-Feb-2023,-123.39%,-6.71%,-19.81%
15-Feb-2023,-116.30%,-6.44%,-18.75%
16-Feb-2023,-118.20%,-7.81%,-21.59%
17-Feb-2023,-121.26%,-8.09%,-23.08%
21-Feb-2023,-124.51%,-10.10%,-25.89%
22-Feb-2023,-124.01%,-10.25%,-25.29%
23-Feb-2023,-124.89%,-9.72%,-23.21%
24-Feb-2023,-130.71%,-10.77%,-25.31%
27-Feb-2023,-129.47%,-10.47%,-24.66%
28-Feb-2023,-127.94%,-10.77%,-24.32%
1-Mar-2023,-132.20%,-11.24%,-24.95%
2-Mar-2023,-131.51%,-10.48%,-23.52%
3-Mar-2023,-129.09%,-8.87%,-22.17%
6-Mar-2023,-132.47%,-8.80%,-22.60%
7-Mar-2023,-134.97%,-10.33%,-23.85%
8-Mar-2023,-135.02%,-10.19%,-22.49%
9-Mar-2023,-141.08%,-12.04%,-24.74%
10-Mar-2023,-142.48%,-13.49%,-26.73%
13-Mar-2023,-145.09%,-13.64%,-26.19%
14-Mar-2023,-145.14%,-11.99%,-23.62%
15-Mar-2023,-149.25%,-12.69%,-23.97%
16-Mar-2023,-147.45%,-10.93%,-20.62%
17-Mar-2023,-149.22%,-12.03%,-21.29%
20-Mar-2023,-155.55%,-11.14%,-21.32%
21-Mar-2023,-146.07%,-9.84%,-20.17%
22-Mar-2023,-149.08%,-11.49%,-21.96%
23-Mar-2023,-145.32%,-11.19%,-19.55%
24-Mar-2023,-143.34%,-10.63%,-20.56%
27-Mar-2023,-149.04%,-10.46%,-21.32%
28-Mar-2023,-151.51%,-10.62%,-21.94%
29-Mar-2023,-150.73%,-9.20%,-19.41%
30-Mar-2023,-149.35%,-8.62%,-17.98%
31-Mar-2023,-144.26%,-7.18%,-16.23%
3-Apr-2023,-148.62%,-6.81%,-17.14%
4-Apr-2023,-151.89%,-7.39%,-18.16%
5-Apr-2023,-154.16%,-7.64%,-20.29%
6-Apr-2023,-152.10%,-7.28%,-20.17%
10-Apr-2023,-155.27%,-7.18%,-19.26%
11-Apr-2023,-154.32%,-7.19%,-19.66%
12-Apr-2023,-157.09%,-7.60%,-20.82%
13-Apr-2023,-156.85%,-6.27%,-19.25%
14-Apr-2023,-158.99%,-6.48%,-19.62%
17-Apr-2023,-158.64%,-6.15%,-19.63%
18-Apr-2023,-155.21%,-6.06%,-19.59%
19-Apr-2023,-154.89%,-6.07%,-20.37%
20-Apr-2023,-154.53%,-6.67%,-20.89%
21-Apr-2023,-157.97%,-6.58%,-21.29%
24-Apr-2023,-161.04%,-6.49%,-21.86%
25-Apr-2023,-163.62%,-8.07%,-25.43%
26-Apr-2023,-164.14%,-8.46%,-24.50%
27-Apr-2023,-163.23%,-6.50%,-22.79%
28-Apr-2023,-162.55%,-5.68%,-22.08%
1-May-2023,-162.98%,-5.71%,-21.96%
2-May-2023,-164.94%,-6.87%,-23.16%
3-May-2023,-166.66%,-7.57%,-23.91%
4-May-2023,-166.09%,-8.29%,-23.66%
5-May-2023,-163.94%,-6.45%,-22.08%
8-May-2023,-162.16%,-6.40%,-21.34%
9-May-2023,-162.12%,-6.86%,-22.22%
10-May-2023,-160.32%,-6.41%,-20.68%
11-May-2023,-162.20%,-6.58%,-21.00%
12-May-2023,-168.08%,-6.74%,-21.10%
15-May-2023,-170.64%,-6.44%,-18.87%
16-May-2023,-172.95%,-7.08%,-19.26%
17-May-2023,-170.75%,-5.89%,-17.32%
18-May-2023,-167.61%,-4.95%,-14.62%
19-May-2023,-169.41%,-5.09%,-14.88%
22-May-2023,-167.51%,-5.08%,-14.03%
23-May-2023,-168.23%,-6.20%,-15.62%
24-May-2023,-169.55%,-6.93%,-16.60%
25-May-2023,-172.46%,-6.05%,-13.03%
26-May-2023,-171.40%,-4.75%,-8.04%
30-May-2023,-170.03%,-4.75%,-7.84%
31-May-2023,-168.05%,-5.36%,-8.79%
1-Jun-2023,-167.53%,-4.37%,-7.68%
2-Jun-2023,-168.37%,-2.92%,-7.28%
5-Jun-2023,-165.98%,-3.12%,-7.56%
6-Jun-2023,-163.53%,-2.89%,-6.85%
7-Jun-2023,-169.04%,-3.27%,-8.89%
8-Jun-2023,-170.31%,-2.65%,-7.71%
9-Jun-2023,-167.73%,-2.53%,-7.45%
12-Jun-2023,-167.30%,-1.60%,-4.71%
13-Jun-2023,-166.35%,-0.91%,-3.53%
14-Jun-2023,-167.20%,-0.83%,-2.89%
15-Jun-2023,-164.75%,0.39%,-2.10%
16-Jun-2023,-163.25%,0.03%,-3.11%
20-Jun-2023,-164.01%,-0.45%,-4.04%
21-Jun-2023,-166.08%,-0.97%,-6.40%
22-Jun-2023,-166.88%,-0.60%,-5.65%
23-Jun-2023,-169.38%,-1.37%,-7.09%
26-Jun-2023,-170.36%,-1.82%,-7.31%
27-Jun-2023,-168.92%,-0.67%,-4.42%
28-Jun-2023,-164.66%,-0.71%,-4.62%
29-Jun-2023,-162.89%,-0.26%,-4.83%
30-Jun-2023,-159.36%,0.97%,-3.43%
3-Jul-2023,-157.33%,1.09%,-3.12%
5-Jul-2023,-158.31%,0.89%,-4.08%
6-Jul-2023,-162.97%,0.10%,-5.50%
7-Jul-2023,-162.02%,-0.19%,-5.48%
10-Jul-2023,-159.21%,0.05%,-3.31%
11-Jul-2023,-154.11%,0.72%,-3.06%
12-Jul-2023,-153.79%,1.47%,-2.23%
13-Jul-2023,-149.99%,2.31%,0.04%
14-Jul-2023,-149.45%,2.21%,-0.44%
17-Jul-2023,-151.74%,2.60%,1.43%
18-Jul-2023,-148.14%,3.31%,1.82%
19-Jul-2023,-143.99%,3.54%,1.43%
20-Jul-2023,-144.85%,2.87%,-1.97%
21-Jul-2023,-144.46%,2.90%,-1.26%
24-Jul-2023,-143.26%,3.30%,-1.41%
25-Jul-2023,-136.51%,3.58%,0.08%
26-Jul-2023,-139.14%,3.57%,-0.54%
27-Jul-2023,-140.88%,2.93%,0.43%
28-Jul-2023,-137.60%,3.91%,2.49%
31-Jul-2023,-136.00%,4.06%,3.24%
1-Aug-2023,-140.49%,3.79%,3.36%
2-Aug-2023,-144.06%,2.41%,-0.60%
3-Aug-2023,-143.77%,2.16%,-0.53%
4-Aug-2023,-144.29%,1.63%,-1.64%
7-Aug-2023,-146.68%,2.53%,-0.96%
8-Aug-2023,-149.07%,2.11%,-2.80%
9-Aug-2023,-149.68%,1.40%,-4.04%
10-Aug-2023,-153.37%,1.43%,-3.67%
11-Aug-2023,-154.09%,1.32%,-5.15%
14-Aug-2023,-155.88%,1.90%,-3.27%
15-Aug-2023,-158.09%,0.74%,-4.88%
16-Aug-2023,-160.05%,-0.01%,-6.27%
17-Aug-2023,-161.57%,-0.79%,-7.42%
18-Aug-2023,-163.84%,-0.80%,-7.07%
21-Aug-2023,-165.66%,-0.11%,-4.70%
22-Aug-2023,-168.17%,-0.39%,-5.23%
23-Aug-2023,-165.36%,0.71%,-3.37%
24-Aug-2023,-174.46%,-0.63%,-6.16%
25-Aug-2023,-175.19%,0.04%,-4.88%
28-Aug-2023,-176.72%,0.67%,-4.19%
29-Aug-2023,-168.43%,2.12%,-1.51%
30-Aug-2023,-165.93%,2.50%,-0.69%
31-Aug-2023,-162.90%,2.34%,0.43%
1-Sep-2023,-167.17%,2.52%,1.04%
5-Sep-2023,-166.80%,2.10%,1.38%
6-Sep-2023,-168.60%,1.40%,1.08%
7-Sep-2023,-170.42%,1.08%,-0.07%
8-Sep-2023,-171.99%,1.23%,-0.27%
11-Sep-2023,-172.13%,1.90%,0.64%
12-Sep-2023,-173.58%,1.33%,-0.77%
13-Sep-2023,-176.76%,1.45%,-0.51%
14-Sep-2023,-178.39%,2.30%,0.23%
15-Sep-2023,-179.52%,1.08%,-2.38%
18-Sep-2023,-181.50%,1.15%,-1.90%
19-Sep-2023,-177.12%,0.94%,-2.50%
20-Sep-2023,-179.16%,0.00%,-4.01%
21-Sep-2023,-182.84%,-1.64%,-6.03%
22-Sep-2023,-183.67%,-1.87%,-5.25%
25-Sep-2023,-184.96%,-1.47%,-4.97%
26-Sep-2023,-186.66%,-2.94%,-6.54%
27-Sep-2023,-186.31%,-2.92%,-5.78%
28-Sep-2023,-185.24%,-2.33%,-4.64%
29-Sep-2023,-182.24%,-2.60%,-4.17%
2-Oct-2023,-184.06%,-2.59%,-3.44%
3-Oct-2023,-189.46%,-3.97%,-5.90%
4-Oct-2023,-189.03%,-3.16%,-4.53%
5-Oct-2023,-189.65%,-3.29%,-4.96%
6-Oct-2023,-187.97%,-2.11%,-2.16%
9-Oct-2023,-186.08%,-1.48%,-1.76%
10-Oct-2023,-182.78%,-0.96%,-0.65%
11-Oct-2023,-184.32%,-0.53%,-0.12%
12-Oct-2023,-184.43%,-1.15%,-0.56%
13-Oct-2023,-185.08%,-1.65%,-2.37%
16-Oct-2023,-179.41%,-0.59%,-1.07%
17-Oct-2023,-178.06%,-0.60%,-1.22%
18-Oct-2023,-182.37%,-1.94%,-2.68%
19-Oct-2023,-185.23%,-2.79%,-3.94%
20-Oct-2023,-186.29%,-4.05%,-5.77%
23-Oct-2023,-185.29%,-4.22%,-5.98%
24-Oct-2023,-182.50%,-3.49%,-4.70%
25-Oct-2023,-189.35%,-4.93%,-8.31%
26-Oct-2023,-189.96%,-6.11%,-9.24%
27-Oct-2023,-191.30%,-6.59%,-8.58%
30-Oct-2023,-189.05%,-5.39%,-8.98%
31-Oct-2023,-187.04%,-4.74%,-8.16%
1-Nov-2023,-186.51%,-3.69%,-6.78%
2-Nov-2023,-180.02%,-1.80%,-5.19%
3-Nov-2023,-177.69%,-0.86%,-3.42%
6-Nov-2023,-179.35%,-0.69%,-3.80%
7-Nov-2023,-179.21%,-0.41%,-1.83%
8-Nov-2023,-180.48%,-0.31%,-1.61%
9-Nov-2023,-183.62%,-1.11%,-2.30%
10-Nov-2023,-182.30%,0.45%,0.91%
13-Nov-2023,-181.10%,0.36%,0.50%
14-Nov-2023,-176.15%,2.27%,3.79%
15-Nov-2023,-174.39%,2.43%,3.94%
16-Nov-2023,-176.60%,2.55%,3.99%
17-Nov-2023,-175.72%,2.68%,4.46%
20-Nov-2023,-174.32%,3.42%,6.07%
21-Nov-2023,-175.95%,3.22%,5.07%
22-Nov-2023,-174.60%,3.62%,5.09%
24-Nov-2023,-173.43%,3.68%,5.31%
27-Nov-2023,-173.41%,3.49%,5.14%
28-Nov-2023,-171.87%,3.58%,5.86%
29-Nov-2023,-172.37%,3.49%,7.40%
30-Nov-2023,-173.75%,3.87%,7.13%
1-Dec-2023,-167.84%,4.46%,7.45%
4-Dec-2023,-166.75%,3.91%,6.20%
5-Dec-2023,-167.15%,3.86%,5.99%
6-Dec-2023,-168.48%,3.47%,5.28%
7-Dec-2023,-167.14%,4.26%,7.12%
8-Dec-2023,-164.62%,4.67%,7.58%
11-Dec-2023,-165.73%,5.07%,9.92%
12-Dec-2023,-166.09%,5.53%,10.90%
13-Dec-2023,-162.12%,6.89%,12.28%
14-Dec-2023,-159.87%,7.16%,13.28%
15-Dec-2023,-161.78%,7.15%,14.12%
18-Dec-2023,-160.62%,7.60%,14.03%
19-Dec-2023,-158.40%,8.19%,14.45%
20-Dec-2023,-160.89%,6.72%,12.66%
21-Dec-2023,-158.90%,7.75%,14.57%
22-Dec-2023,-157.69%,7.92%,15.03%
26-Dec-2023,-157.73%,8.34%,16.02%
27-Dec-2023,-156.38%,8.48%,16.01%
28-Dec-2023,-156.45%,8.52%,15.91%
29-Dec-2023,-159.50%,8.24%,15.26%
2-Jan-2024,-163.57%,7.67%,12.12%
3-Jan-2024,-166.59%,6.87%,10.67%
