Cumulative return,Cumulative return,Cumulative return
STH SaaS Index,S&P 500,Nasdaq NDXT
-54.37%,-10.94%,-33.34%
-53.24%,-10.60%,-32.59%
-52.38%,-10.20%,-31.95%
-50.86%,-10.40%,-31.53%
-52.16%,-11.96%,-32.91%
-53.71%,-12.72%,-34.40%
-49.91%,-10.83%,-30.98%
-46.97%,-9.64%,-27.55%
-48.25%,-9.71%,-28.26%
-48.54%,-9.73%,-28.53%
-45.53%,-8.63%,-25.87%
-43.94%,-8.38%,-25.79%
-46.35%,-9.68%,-28.35%
-44.29%,-8.21%,-26.45%
-39.60%,-7.17%,-22.21%
-34.96%,-5.70%,-18.66%
-39.86%,-6.73%,-21.17%
-41.74%,-7.35%,-22.83%
-38.70%,-6.06%,-19.81%
-40.26%,-7.17%,-21.54%
-41.14%,-8.05%,-21.97%
-43.30%,-7.83%,-23.29%
-41.65%,-6.68%,-21.65%
-39.71%,-6.71%,-19.81%
-37.92%,-6.44%,-18.75%
-41.36%,-7.81%,-21.59%
-42.39%,-8.09%,-23.08%
-44.97%,-10.10%,-25.89%
-43.53%,-10.25%,-25.29%
-42.93%,-9.72%,-23.21%
-45.42%,-10.77%,-25.31%
-45.27%,-10.47%,-24.66%
-45.28%,-10.77%,-24.32%
-46.34%,-11.24%,-24.95%
-44.41%,-10.48%,-23.52%
-41.76%,-8.87%,-22.17%
-42.30%,-8.80%,-22.60%
-43.13%,-10.33%,-23.85%
-42.98%,-10.19%,-22.49%
-46.36%,-12.04%,-24.74%
-51.02%,-13.49%,-26.73%
-50.04%,-13.64%,-26.19%
-47.89%,-11.99%,-23.62%
-47.70%,-12.69%,-23.97%
-45.33%,-10.93%,-20.62%
-46.13%,-12.03%,-21.29%
-46.97%,-11.14%,-21.32%
-43.91%,-9.84%,-20.17%
-46.92%,-11.49%,-21.96%
-44.72%,-11.19%,-19.55%
-45.36%,-10.63%,-20.56%
-45.20%,-10.46%,-21.32%
-45.61%,-10.62%,-21.94%
-43.26%,-9.20%,-19.41%
-42.09%,-8.62%,-17.98%
-38.48%,-7.18%,-16.23%
-40.03%,-6.81%,-17.14%
-39.87%,-7.39%,-18.16%
-43.01%,-7.64%,-20.29%
-42.33%,-7.28%,-20.17%
-42.37%,-7.18%,-19.26%
-42.81%,-7.19%,-19.66%
-42.89%,-7.60%,-20.82%
-40.90%,-6.27%,-19.25%
-41.68%,-6.48%,-19.62%
-40.86%,-6.15%,-19.63%
-40.68%,-6.06%,-19.59%
-41.01%,-6.07%,-20.37%
-42.16%,-6.67%,-20.89%
-41.38%,-6.58%,-21.29%
-42.93%,-6.49%,-21.86%
-47.46%,-8.07%,-25.43%
-46.00%,-8.46%,-24.50%
-44.64%,-6.50%,-22.79%
-44.65%,-5.68%,-22.08%
-45.07%,-5.71%,-21.96%
-47.46%,-6.87%,-23.16%
-48.67%,-7.57%,-23.91%
